Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,sampleNum
M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10,3675
M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,10,1344
I,0.43,0.325,0.11,0.3675,0.1355,0.0935,0.12,13,2194
F,0.635,0.495,0.175,1.2355,0.5205,0.3085,0.347,10,4139
F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23,313
M,0.545,0.41,0.12,0.793,0.434,0.1405,0.19,9,1121
I,0.545,0.43,0.13,0.7595,0.358,0.153,0.2055,8,2896
M,0.505,0.385,0.105,0.5525,0.239,0.1245,0.1555,9,1463
I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,638
F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11,1036
F,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9,961
F,0.525,0.4,0.115,0.6295,0.2555,0.144,0.18,11,3942
F,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,10,2694
M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,1122
I,0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8,1439
I,0.405,0.305,0.105,0.3625,0.1565,0.0705,0.125,10,2197
M,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9,1896
I,0.385,0.28,0.1,0.2755,0.1305,0.061,0.0725,8,2042
M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9,856
M,0.565,0.44,0.115,0.9185,0.404,0.1785,0.29,11,3183
I,0.435,0.33,0.11,0.38,0.1515,0.0945,0.11,7,1842
M,0.52,0.425,0.125,0.79,0.372,0.205,0.19,8,3839
I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6,1210
M,0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14,3943
M,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,11,4022
M,0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7,2120
F,0.57,0.43,0.16,0.811,0.3875,0.159,0.2285,9,2664
M,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9,1733
F,0.52,0.375,0.135,0.5375,0.221,0.117,0.17,8,3809
M,0.46,0.355,0.11,0.415,0.215,0.082,0.13,12,3275
I,0.55,0.42,0.13,0.636,0.294,0.144,0.1755,8,2658
M,0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9,3422
M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05,6,3249
F,0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20,375
M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9,842
I,0.6,0.445,0.175,1.057,0.383,0.216,0.355,16,3305
F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15,3204
M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,11,298
I,0.53,0.425,0.13,0.781,0.3905,0.2005,0.215,9,3653
I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7,834
I,0.485,0.365,0.14,0.4475,0.1895,0.0925,0.2305,8,2746
M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,19,312
F,0.46,0.355,0.13,0.458,0.192,0.1055,0.13,13,531
M,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,11,3845
F,0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5,521
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,60
I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4,2712
I,0.245,0.175,0.055,0.0785,0.04,0.018,0.02,5,3995
F,0.53,0.4,0.165,0.772,0.2855,0.1975,0.23,12,3948
M,0.625,0.47,0.175,1.179,0.605,0.258,0.271,9,3506
F,0.56,0.43,0.145,0.898,0.3895,0.2325,0.245,9,3769
F,0.615,0.49,0.19,1.1345,0.4695,0.257,0.348,11,3503
F,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15,2107
F,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9,445
I,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9,1601
F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10,3573
I,0.48,0.37,0.12,0.536,0.251,0.114,0.15,8,1573
I,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7,1830
M,0.55,0.45,0.13,0.92,0.378,0.2385,0.29,11,486
M,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11,2261
M,0.625,0.5,0.13,1.082,0.5785,0.2045,0.25,8,2847
M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10,708
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,122
I,0.415,0.33,0.09,0.3595,0.17,0.081,0.09,6,920
M,0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12,1202
F,0.605,0.47,0.16,1.0835,0.5405,0.2215,0.275,12,1362
F,0.445,0.335,0.11,0.4355,0.2025,0.1095,0.1195,6,931
I,0.455,0.375,0.125,0.533,0.233,0.106,0.185,8,3251
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8,329
M,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10,3794
F,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335,19,3360
F,0.605,0.495,0.17,1.0915,0.4365,0.2715,0.335,13,2923
M,0.6,0.485,0.175,1.2675,0.4995,0.2815,0.38,13,2251
F,0.665,0.57,0.185,1.522,0.6965,0.3025,0.405,13,3285
I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,7,3435
I,0.42,0.32,0.11,0.309,0.115,0.0645,0.0945,6,3015
I,0.53,0.42,0.12,0.5965,0.2555,0.141,0.177,7,1596
M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8,3492
M,0.455,0.355,0.135,0.4745,0.1865,0.0935,0.168,13,3910
F,0.755,0.575,0.2,2.073,1.0135,0.4655,0.48,11,3082
I,0.415,0.325,0.1,0.3215,0.1535,0.0595,0.105,10,390
I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12,3333
F,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,7,2242
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,96
M,0.62,0.485,0.155,1.049,0.462,0.231,0.25,10,1494
M,0.61,0.48,0.14,1.0625,0.516,0.225,0.2915,11,2928
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,115
I,0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7,3977
M,0.685,0.535,0.155,1.3845,0.6615,0.2145,0.4075,10,1974
M,0.485,0.39,0.135,0.617,0.25,0.1345,0.1635,8,2058
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,243
I,0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9,393
M,0.55,0.43,0.13,0.8395,0.3155,0.1955,0.2405,10,4170
M,0.725,0.575,0.24,2.21,1.351,0.413,0.5015,13,1528
F,0.6,0.47,0.2,1.031,0.392,0.2035,0.29,15,2364
F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345,11,3461
M,0.605,0.5,0.175,1.098,0.4765,0.232,0.375,12,448
M,0.51,0.4,0.14,0.6905,0.259,0.151,0.23,10,3138
I,0.62,0.47,0.155,0.966,0.447,0.171,0.284,11,3684
M,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16,3876
M,0.65,0.51,0.16,1.3835,0.6385,0.2905,0.3665,9,1720
I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013,4,3473
M,0.53,0.405,0.125,0.6515,0.2715,0.1605,0.186,7,976
I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,1083
M,0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11,2326
I,0.54,0.415,0.155,0.702,0.322,0.167,0.19,10,4037
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,45
I,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,10,3922
M,0.6,0.46,0.155,0.6655,0.285,0.149,0.269,11,4046
M,0.545,0.45,0.15,0.8795,0.387,0.15,0.2625,11,2522
I,0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,10,3306
I,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.058,7,1539
M,0.275,0.2,0.08,0.099,0.037,0.024,0.03,5,3308
I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8,1116
F,0.615,0.495,0.16,1.255,0.5815,0.3195,0.3225,12,1928
I,0.44,0.355,0.165,0.435,0.159,0.105,0.14,16,2402
M,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,11,4148
M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275,11,3230
M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10,1021
M,0.525,0.4,0.13,0.622,0.2655,0.147,0.184,9,3094
M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10,1176
M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10,3073
I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7,936
M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11,3784
F,0.55,0.43,0.14,0.8105,0.368,0.161,0.275,9,981
I,0.34,0.245,0.085,0.2015,0.1005,0.038,0.053,6,2716
M,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,11,2337
F,0.56,0.44,0.155,0.9705,0.4315,0.263,0.255,9,3887
I,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5,3873
F,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13,2174
I,0.31,0.23,0.07,0.1245,0.0505,0.0265,0.038,6,2864
M,0.4,0.31,0.11,0.314,0.138,0.057,0.1,11,3313
I,0.385,0.3,0.09,0.308,0.1525,0.056,0.0835,8,1550
F,0.61,0.485,0.17,1.1005,0.5125,0.229,0.305,11,1492
M,0.5,0.385,0.12,0.6335,0.2305,0.125,0.235,14,3830
I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5,1249
M,0.63,0.505,0.155,1.105,0.492,0.226,0.325,11,4137
M,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,9,989
I,0.395,0.295,0.1,0.293,0.14,0.062,0.082,7,2043
F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.269,10,1356
F,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,9,1821
I,0.325,0.25,0.07,0.1745,0.0875,0.0355,0.04,7,1996
I,0.45,0.335,0.115,0.3935,0.195,0.071,0.11,7,3751
F,0.6,0.5,0.16,1.122,0.5095,0.256,0.309,10,3676
M,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,12,3894
I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198,14,3346
F,0.57,0.45,0.15,0.9645,0.531,0.189,0.209,9,4114
F,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,10,3909
I,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,14,2264
M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9,438
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,69
F,0.6,0.505,0.19,1.129,0.4385,0.256,0.36,13,503
M,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11,4126
M,0.52,0.38,0.135,0.5825,0.2505,0.1565,0.175,8,2256
F,0.4,0.31,0.115,0.3465,0.1475,0.0695,0.115,10,2099
I,0.405,0.305,0.09,0.2825,0.114,0.0575,0.095,7,2094
M,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14,2218
F,0.44,0.355,0.115,0.415,0.1585,0.0925,0.131,11,541
M,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18,2416
F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12,557
M,0.53,0.4,0.125,0.7575,0.398,0.151,0.175,8,1471
F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,89
F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9,990
M,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12,736
I,0.39,0.29,0.1,0.2845,0.1255,0.0635,0.081,7,4164
M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13,419
I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7,1239
F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.352,9,3127
M,0.47,0.38,0.145,0.5865,0.2385,0.144,0.185,8,397
F,0.58,0.455,0.16,0.9215,0.312,0.196,0.3,17,2262
I,0.44,0.34,0.105,0.369,0.164,0.08,0.1015,5,1446
F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11,1731
F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10,403
M,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,10,3685
I,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7,911
I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,1284
M,0.61,0.365,0.155,1.0765,0.488,0.249,0.27,9,4089
I,0.43,0.33,0.1,0.449,0.254,0.0825,0.097,6,2977
I,0.39,0.285,0.1,0.281,0.1275,0.062,0.077,7,1552
M,0.6,0.47,0.175,1.105,0.4865,0.247,0.315,15,505
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7,233
F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10,3119
I,0.68,0.53,0.185,1.1095,0.439,0.245,0.34,10,510
M,0.59,0.485,0.12,0.911,0.39,0.182,0.29,16,407
F,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,21,2180
I,0.28,0.2,0.065,0.0895,0.036,0.0185,0.03,7,1990
M,0.36,0.27,0.09,0.2225,0.083,0.053,0.075,6,2248
I,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,5,2628
M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9,1126
I,0.365,0.27,0.075,0.2215,0.095,0.0445,0.07,6,1831
I,0.47,0.37,0.12,0.4705,0.1845,0.1055,0.155,12,532
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,53
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7,250
I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6,816
F,0.635,0.51,0.185,1.286,0.526,0.295,0.4105,12,2851
M,0.545,0.425,0.135,0.8445,0.373,0.21,0.235,10,384
I,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10,1317
M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10,735
I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8,3642
M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27,8,3491
I,0.58,0.44,0.145,0.7905,0.3525,0.1645,0.242,10,1912
I,0.45,0.36,0.13,0.478,0.191,0.127,0.137,7,933
M,0.72,0.585,0.22,1.914,0.9155,0.448,0.479,11,2087
F,0.655,0.49,0.16,1.204,0.5455,0.2615,0.3225,9,3070
I,0.485,0.37,0.1,0.513,0.219,0.1075,0.13,7,3443
M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18,3387
M,0.495,0.4,0.14,0.7775,0.2015,0.18,0.25,15,2498
F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13,3164
F,0.57,0.45,0.16,0.9715,0.3965,0.255,0.26,12,528
M,0.65,0.51,0.175,1.446,0.6485,0.2705,0.45,12,2803
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,144
M,0.59,0.465,0.14,1.046,0.4695,0.263,0.263,7,2592
F,0.605,0.475,0.175,1.382,0.609,0.2325,0.3985,10,865
I,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8,2644
M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8,1129
I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9,1300
F,0.46,0.365,0.115,0.4485,0.165,0.083,0.17,14,3832
I,0.52,0.395,0.145,0.77,0.424,0.142,0.1895,7,2829
F,0.685,0.545,0.18,1.768,0.7495,0.392,0.485,16,359
I,0.265,0.195,0.06,0.092,0.0345,0.025,0.0245,6,897
F,0.58,0.465,0.145,0.9865,0.47,0.2155,0.25,11,2773
M,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8,3223
M,0.63,0.48,0.165,1.286,0.604,0.271,0.35,8,2611
I,0.535,0.41,0.13,0.6075,0.268,0.1225,0.1975,9,3556
M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135,8,3442
I,0.43,0.34,0.105,0.4405,0.2385,0.0745,0.1075,6,1445
M,0.75,0.595,0.205,2.2205,1.083,0.421,0.63,12,1761
M,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10,3424
F,0.695,0.55,0.16,1.6365,0.694,0.3005,0.44,13,3245
M,0.525,0.38,0.125,0.65,0.303,0.155,0.159,7,1783
F,0.665,0.51,0.175,1.3805,0.675,0.2985,0.325,10,2961
I,0.405,0.3,0.11,0.32,0.172,0.044,0.093,7,1073
I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6,4151
M,0.635,0.52,0.175,1.292,0.6,0.269,0.367,11,2946
I,0.53,0.405,0.12,0.632,0.2715,0.148,0.1875,9,1873
I,0.44,0.31,0.115,0.3625,0.134,0.082,0.12,11,3365
M,0.585,0.51,0.16,1.218,0.639,0.241,0.3,11,4085
F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9,841
I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6,4149
M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8,1784
F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,1046
M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5,13,3426
M,0.645,0.51,0.16,1.33,0.6665,0.309,0.317,9,1711
I,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5,3864
I,0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8,1580
M,0.59,0.47,0.16,1.206,0.479,0.2425,0.309,8,997
F,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,11,1984
M,0.515,0.405,0.14,0.8505,0.312,0.146,0.315,17,2463
F,0.435,0.35,0.12,0.4585,0.192,0.1,0.13,11,2122
M,0.605,0.47,0.18,1.1155,0.479,0.2565,0.321,10,1921
F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10,2984
I,0.455,0.325,0.135,0.82,0.4005,0.1715,0.211,8,1771
F,0.61,0.495,0.19,1.213,0.464,0.306,0.365,15,3247
I,0.59,0.45,0.145,1.022,0.428,0.268,0.265,10,1649
I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053,6,3407
F,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10,2790
F,0.67,0.515,0.17,1.4265,0.6605,0.3395,0.37,11,3004
M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20,278
M,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,10,1903
I,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,7,4000
I,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,9,2882
M,0.645,0.52,0.175,1.561,0.709,0.3555,0.4,8,1026
I,0.27,0.205,0.075,0.118,0.059,0.031,0.0305,4,3963
I,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,7,3719
I,0.605,0.495,0.145,1.054,0.369,0.2255,0.36,12,598
I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146,14,3209
M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10,1191
F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10,1503
M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2,7,3449
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,148
I,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,10,4127
I,0.55,0.425,0.13,0.664,0.2695,0.163,0.21,8,2899
F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,18,3166
I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11,648
F,0.6,0.45,0.14,0.869,0.3425,0.195,0.291,11,3053
F,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9,2990
F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10,444
I,0.535,0.455,0.14,1.0015,0.53,0.1765,0.244,9,1874
F,0.635,0.475,0.15,1.1845,0.533,0.307,0.291,10,1808
F,0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12,2861
I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6,2556
I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6,826
F,0.55,0.43,0.14,0.7135,0.2565,0.186,0.225,9,596
I,0.48,0.35,0.105,0.635,0.352,0.127,0.135,6,4001
F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16,761
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,206
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,42
F,0.69,0.58,0.195,1.658,0.708,0.3615,0.4715,10,4021
M,0.65,0.495,0.16,1.2075,0.55,0.2695,0.32,10,3694
M,0.49,0.38,0.11,0.554,0.2935,0.1005,0.15,8,2645
I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7,2723
F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,184
M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12,857
I,0.53,0.42,0.13,0.658,0.296,0.1245,0.198,8,3554
F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10,1029
M,0.615,0.485,0.215,0.9615,0.422,0.176,0.29,11,3056
M,0.585,0.465,0.155,0.9145,0.4555,0.1965,0.235,9,1340
F,0.72,0.575,0.215,2.1,0.8565,0.4825,0.602,12,2088
M,0.525,0.42,0.155,0.842,0.428,0.1415,0.2045,9,1296
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,14
F,0.47,0.365,0.12,0.582,0.29,0.092,0.146,8,946
F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,22,270
I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7,175
I,0.43,0.325,0.09,0.425,0.217,0.087,0.095,7,926
I,0.52,0.38,0.125,0.5545,0.288,0.1295,0.167,8,1111
I,0.46,0.37,0.11,0.3965,0.1485,0.0855,0.1455,8,3022
F,0.68,0.55,0.19,1.807,0.8225,0.3655,0.515,11,3959
I,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,6,806
M,0.5,0.385,0.135,0.551,0.2245,0.0715,0.206,11,3181
M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07,9,3205
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,67
I,0.34,0.26,0.09,0.179,0.076,0.0525,0.055,6,2293
I,0.185,0.135,0.045,0.032,0.011,0.0065,0.01,4,3994
F,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10,3559
F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8,1785
I,0.465,0.355,0.09,0.4325,0.2005,0.074,0.1275,9,2055
I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,6,319
M,0.63,0.49,0.15,1.1955,0.5845,0.257,0.3,9,4062
M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15,3167
F,0.595,0.465,0.15,0.98,0.4115,0.196,0.2255,10,1350
I,0.5,0.38,0.135,0.5285,0.226,0.123,0.209,8,3027
I,0.43,0.345,0.115,0.4295,0.212,0.108,0.109,8,2976
M,0.52,0.4,0.125,0.559,0.254,0.139,0.149,8,1468
M,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9,1374
I,0.315,0.23,0.0,0.134,0.0575,0.0285,0.3505,6,3996
I,0.2,0.145,0.025,0.0345,0.011,0.0075,0.01,5,3190
I,0.275,0.195,0.065,0.106,0.054,0.02,0.028,6,1061
I,0.47,0.37,0.11,0.5555,0.25,0.115,0.163,8,2514
F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,171
M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10,1049
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,49
M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17,12,3276
F,0.62,0.48,0.175,1.0405,0.464,0.2225,0.3,9,1687
I,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7,2127
I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,1063
I,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7,4152
I,0.475,0.35,0.11,0.4565,0.206,0.099,0.13,6,1095
F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43,10,3425
M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25,8,3451
M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13,3696
M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,9,299
M,0.65,0.51,0.175,1.155,0.4955,0.2025,0.385,12,3697
I,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9,2877
F,0.53,0.42,0.17,0.828,0.41,0.208,0.1505,6,2581
F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6,1584
F,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9,2528
F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17,287
M,0.625,0.475,0.175,1.3405,0.656,0.283,0.337,10,2846
F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,164
I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15,614
M,0.615,0.51,0.15,1.296,0.545,0.3315,0.32,9,869
M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,98
I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5,332
M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13,777
M,0.475,0.355,0.125,0.4625,0.186,0.107,0.145,9,2442
I,0.58,0.435,0.15,0.8915,0.363,0.1925,0.2515,6,3982
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12,22
I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11,1311
M,0.605,0.475,0.175,1.201,0.5395,0.275,0.309,10,2531
F,0.71,0.555,0.17,1.47,0.5375,0.38,0.431,12,3829
F,0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9,1002
M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184,16,3316
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,130
F,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,10,2600
F,0.595,0.455,0.14,0.914,0.3895,0.2225,0.271,9,4134
M,0.71,0.555,0.175,2.14,1.2455,0.3725,0.434,11,3713
M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8,844
F,0.715,0.565,0.24,2.1995,0.7245,0.465,0.885,17,2161
I,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,8,2057
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,38
M,0.6,0.465,0.2,1.259,0.6405,0.1985,0.357,9,1488
M,0.275,0.205,0.07,0.094,0.0335,0.02,0.0325,5,538
I,0.44,0.345,0.13,0.4495,0.209,0.0835,0.134,6,929
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,246
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,88
I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7,325
I,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9,1452
I,0.515,0.39,0.11,0.531,0.2415,0.098,0.1615,8,2753
M,0.45,0.355,0.115,0.478,0.18,0.1185,0.155,10,3878
I,0.29,0.225,0.07,0.101,0.036,0.0235,0.035,8,423
F,0.485,0.4,0.155,0.731,0.236,0.183,0.255,11,3854
F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21,811
